num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
12,21,32
99,111,448
75,138,548
2,4,4
3,1,3
4,9,12
2,4,4
11,15,23
32,29,68
15,31,38
42,125,198
37,23,305
13,28,70
99,72,383
2,2,4
10,26,50
18,8,22
3,6,6
28,49,93
49,177,243
30,37,124
11,21,31
65,103,594
9,21,33
138,972,3067
4,4,6
6,8,8
4,4,6
16,14,32
4,4,4
4,8,8
5,9,15
6,15,18
4,8,8
6,10,14
15,19,42
2,4,4
6,14,18
21,47,87
2,4,4
5,7,13
34,23,98
2,2,2
46,113,221
22,53,96
3,3,9
2,2,4
13,16,52
4,6,10
30,109,142
5,11,13
6,5,8
2,4,4
1,3,5
3,2,6
2,4,4
3,2,3
20,60,65
2,4,4
23,19,69
6,10,20
46,109,283
7,16,24
59,63,348
43,84,322
2,4,4
6,7,16
2,4,4
4,8,8
10,10,25
5,10,13
11,13,23
15,21,105
2,4,4
31,46,116
10,24,48
4,2,8
6,15,15
12,16,36
34,148,230
18,14,78
9,9,27
45,77,553
5,3,8
20,34,44
326,196,10348
5,6,10
2,2,2
2,3,3
6,8,24
3,6,9
9,17,20
4,6,8
1,3,3
10,10,18
3,9,9
41,26,230
2,4,4
8,10,13
44,58,218
6,7,8
9,17,39
18,29,88
4,6,6
108,238,701
36,58,172
8,8,16
6,6,12
14,16,56
32,47,138
71,159,336
7,10,25
75,152,947
2,2,4
4,8,21
5,10,10
44,27,476
2,4,4
3,2,6
5,4,5
5,13,13
41,90,172
122,669,1901
2,2,4
23,13,69
6,8,16
53,97,298
15,16,37
97,115,450
57,54,362
2,2,4
4,4,6
9,16,19
2,4,4
13,17,33
6,9,12
46,63,140
2,4,4
16,19,41
38,38,232
18,40,144
1,1,2
22,64,152
133,163,562
12,18,71
23,23,43
3,9,9
47,89,193
70,185,415
4,3,8
33,55,145
12,18,32
66,205,756
6,9,10
31,113,146
22,29,99
6,8,8
16,16,64
7,11,23
40,186,306
5,7,13
2,4,4
2,2,4
2,6,14
3,4,6
2,4,4
2,4,4
5,7,7
2,4,4
2,4,4
20,33,82
26,18,105
5,8,11
55,133,396
3,2,6
23,26,68
332,305,10405
2,4,4
3,3,3
2,1,3
6,4,24
3,3,9
9,8,20
4,4,8
1,1,3
7,8,12
3,9,9
41,10,230
8,5,13
45,21,223
10,11,16
12,16,45
21,39,99
8,10,28
63,68,371
53,36,358
2,2,4
5,10,13
2,4,4
7,9,21
17,38,79
2,4,4
6,10,10
10,8,24
18,40,144
1,1,2
4,8,8
44,62,184
10,16,65
3,3,3
5,5,11
16,22,56
41,78,330
3,5,6
24,22,126
6,8,20
50,149,698
6,5,10
115,245,710
71,133,529
4,4,4
3,6,9
15,20,28
4,8,8
6,6,12
20,8,68
45,64,291
79,184,546
5,7,13
19,21,51
89,102,1075
2,4,4
6,10,40
6,8,15
54,105,731
4,8,8
6,4,12
10,23,33
47,17,236
13,20,29
64,104,352
151,530,2387
2,4,4
41,24,124
21,28,74
