,date,dengue_cases,denv_1,denv_2,denv_3,denv_4
0,2023-01-01,279,0.214,0.108,0.623,0.055
1,2023-01-08,278,0.214,0.108,0.623,0.055
2,2023-01-15,273,0.214,0.108,0.623,0.055
3,2023-01-22,186,0.214,0.108,0.623,0.055
4,2023-01-29,223,0.214,0.108,0.623,0.055
5,2023-02-05,219,0.214,0.108,0.623,0.055
6,2023-02-12,148,0.214,0.108,0.623,0.055
7,2023-02-19,138,0.214,0.108,0.623,0.055
8,2023-02-26,111,0.214,0.108,0.623,0.055
9,2023-03-05,119,0.214,0.108,0.623,0.055
10,2023-03-12,149,0.214,0.108,0.623,0.055
11,2023-03-19,128,0.214,0.108,0.623,0.055
12,2022-01-02,106,0.009,0.393,0.598,0.0
13,2022-01-09,146,0.009,0.393,0.598,0.0
14,2022-01-16,178,0.009,0.393,0.598,0.0
15,2022-01-23,169,0.009,0.393,0.598,0.0
16,2022-01-30,153,0.009,0.393,0.598,0.0
17,2022-02-06,168,0.004,0.357,0.626,0.013
18,2022-02-13,206,0.004,0.357,0.626,0.013
19,2022-02-20,200,0.004,0.357,0.626,0.013
20,2022-02-27,263,0.004,0.357,0.626,0.013
21,2022-03-06,369,0.004,0.134,0.862,0.0
22,2022-03-13,421,0.004,0.134,0.862,0.0
23,2022-03-20,441,0.004,0.134,0.862,0.0
24,2022-03-27,510,0.004,0.134,0.862,0.0
25,2022-04-03,642,0.001,0.1,0.893,0.006
26,2022-04-10,733,0.001,0.1,0.893,0.006
27,2022-04-17,942,0.001,0.1,0.893,0.006
28,2022-04-24,1002,0.001,0.1,0.893,0.006
29,2022-05-01,845,0.002,0.127,0.865,0.006
30,2022-05-08,1311,0.002,0.127,0.865,0.006
31,2022-05-15,1273,0.002,0.127,0.865,0.006
32,2022-05-22,1563,0.002,0.127,0.865,0.006
33,2022-05-29,1451,0.002,0.127,0.865,0.006
34,2022-06-05,1459,0.005,0.122,0.856,0.018
35,2022-06-12,1253,0.005,0.122,0.856,0.018
36,2022-06-19,1171,0.005,0.122,0.856,0.018
37,2022-06-26,1186,0.005,0.122,0.856,0.018
38,2022-07-03,1164,0.01,0.102,0.848,0.04
39,2022-07-10,918,0.01,0.102,0.848,0.04
40,2022-07-17,1035,0.01,0.102,0.848,0.04
41,2022-07-24,1092,0.01,0.102,0.848,0.04
42,2022-07-31,894,0.01,0.102,0.848,0.04
43,2022-08-07,879,0.024,0.114,0.835,0.027
44,2022-08-14,679,0.024,0.114,0.835,0.027
45,2022-08-21,661,0.024,0.114,0.835,0.027
46,2022-08-28,577,0.024,0.114,0.835,0.027
47,2022-09-04,569,0.043,0.145,0.782,0.031
48,2022-09-11,545,0.043,0.145,0.782,0.031
49,2022-09-18,472,0.043,0.145,0.782,0.031
50,2022-09-25,426,0.043,0.145,0.782,0.031
51,2022-10-02,398,0.065,0.177,0.727,0.031
52,2022-10-09,376,0.065,0.177,0.727,0.031
53,2022-10-16,373,0.065,0.177,0.727,0.031
54,2022-10-23,313,0.065,0.177,0.727,0.031
55,2022-10-30,318,0.065,0.177,0.727,0.031
56,2022-11-06,294,0.068,0.113,0.788,0.031
57,2022-11-13,313,0.068,0.113,0.788,0.031
58,2022-11-20,267,0.068,0.113,0.788,0.031
59,2022-11-27,242,0.068,0.113,0.788,0.031
60,2022-12-04,326,0.214,0.108,0.623,0.055
61,2022-12-11,289,0.214,0.108,0.623,0.055
62,2022-12-18,272,0.214,0.108,0.623,0.055
63,2022-12-25,285,0.214,0.108,0.623,0.055
64,2021-01-03,194,0.0,0.538,0.217,0.245
65,2021-01-10,165,0.0,0.538,0.217,0.245
66,2021-01-17,151,0.0,0.538,0.217,0.245
67,2021-01-24,135,0.0,0.538,0.217,0.245
68,2021-01-31,141,0.0,0.538,0.217,0.245
69,2021-02-07,142,0.0,0.371,0.487,0.143
70,2021-02-14,148,0.0,0.371,0.487,0.143
71,2021-02-21,145,0.0,0.371,0.487,0.143
72,2021-02-28,139,0.0,0.371,0.487,0.143
73,2021-03-07,145,0.005,0.302,0.36,0.333
74,2021-03-14,129,0.005,0.302,0.36,0.333
75,2021-03-21,120,0.005,0.302,0.36,0.333
76,2021-03-28,113,0.005,0.302,0.36,0.333
77,2021-04-04,102,0.0,0.412,0.412,0.175
78,2021-04-11,112,0.0,0.412,0.412,0.175
79,2021-04-18,128,0.0,0.412,0.412,0.175
80,2021-04-25,84,0.0,0.412,0.412,0.175
81,2021-05-02,117,0.0,0.385,0.526,0.09
82,2021-05-09,92,0.0,0.385,0.526,0.09
83,2021-05-16,116,0.0,0.385,0.526,0.09
84,2021-05-23,129,0.0,0.385,0.526,0.09
85,2021-05-30,118,0.0,0.385,0.526,0.09
86,2021-06-06,137,0.0,0.264,0.611,0.125
87,2021-06-13,135,0.0,0.264,0.611,0.125
88,2021-06-20,126,0.0,0.264,0.611,0.125
89,2021-06-27,112,0.0,0.264,0.611,0.125
90,2021-07-04,104,0.012,0.193,0.723,0.072
91,2021-07-11,75,0.012,0.193,0.723,0.072
92,2021-07-18,80,0.012,0.193,0.723,0.072
93,2021-07-25,82,0.012,0.193,0.723,0.072
94,2021-08-01,70,0.0,0.294,0.676,0.029
95,2021-08-08,79,0.0,0.294,0.676,0.029
96,2021-08-15,56,0.0,0.294,0.676,0.029
97,2021-08-22,53,0.0,0.294,0.676,0.029
98,2021-08-29,46,0.0,0.294,0.676,0.029
99,2021-09-05,60,0.0,0.056,0.921,0.024
100,2021-09-12,74,0.0,0.056,0.921,0.024
101,2021-09-19,109,0.0,0.056,0.921,0.024
102,2021-09-26,105,0.0,0.056,0.921,0.024
103,2021-10-03,104,0.008,0.053,0.939,0.0
104,2021-10-10,85,0.008,0.053,0.939,0.0
105,2021-10-17,76,0.008,0.053,0.939,0.0
106,2021-10-24,75,0.008,0.053,0.939,0.0
107,2021-10-31,59,0.008,0.053,0.939,0.0
108,2021-11-07,42,0.0,0.102,0.898,0.0
109,2021-11-14,56,0.0,0.102,0.898,0.0
110,2021-11-21,63,0.0,0.102,0.898,0.0
111,2021-11-28,48,0.0,0.102,0.898,0.0
112,2021-12-05,64,0.0,0.094,0.896,0.01
113,2021-12-12,61,0.0,0.094,0.896,0.01
114,2021-12-19,68,0.0,0.094,0.896,0.01
115,2021-12-26,76,0.0,0.094,0.896,0.01
116,2019-12-29,302,0.003,0.423,0.343,0.231
117,2020-12-06,227,0.003,0.423,0.343,0.231
118,2020-12-13,236,0.003,0.423,0.343,0.231
119,2020-12-20,196,0.003,0.423,0.343,0.231
120,2020-12-27,193,0.003,0.423,0.343,0.231
121,2020-01-05,342,0.089,0.397,0.467,0.048
122,2020-01-12,402,0.089,0.397,0.467,0.048
123,2020-01-19,307,0.089,0.397,0.467,0.048
124,2020-01-26,370,0.089,0.397,0.467,0.048
125,2020-02-02,400,0.177,0.269,0.474,0.081
126,2020-02-09,378,0.177,0.269,0.474,0.081
127,2020-02-16,380,0.177,0.269,0.474,0.081
128,2020-02-23,373,0.177,0.269,0.474,0.081
129,2020-03-01,375,0.134,0.316,0.43,0.12
130,2020-03-08,389,0.134,0.316,0.43,0.12
131,2020-03-15,367,0.134,0.316,0.43,0.12
